site,country,title,author,content_publish_date,paragraph_text
espnw,us,Mercury snap Liberty streak as teams combine for record 33 3s,Michael Voepel,"Jun 19, 2024, 01:32 AM ET",The Mercury and Liberty combined for 33 3-pointers -- the most in a game in WNBA history -- as Phoenix snapped New York's eight-game winning streak with a 99-93 victory Tuesday night at Footprint Center.
espnw,us,Mercury snap Liberty streak as teams combine for record 33 3s,Michael Voepel,"Jun 19, 2024, 01:32 AM ET","The Liberty made 18 3-pointers, tying a single-game team record. Tuesday was the first time since the WNBA began in 1997 that both teams made at least 15 3-pointers in a game. The Mercury took 30 shots from behind the arc (50%) and the Liberty 42 (42.9%)."
espnw,us,Mercury snap Liberty streak as teams combine for record 33 3s,Michael Voepel,"Jun 19, 2024, 01:32 AM ET","""That was some high-level stuff, the shot-making,"" Phoenix coach Nate Tibbetts said. ""For us to stay with it and get the win is a credit to our group."""
espnw,us,Mercury snap Liberty streak as teams combine for record 33 3s,Michael Voepel,"Jun 19, 2024, 01:32 AM ET","Phoenix's Rebecca Allen led the way in 3-pointers, as she made 5 of 7 and finished with a season-high 17 points, while teammate Diana Taurasi had 4 of 7 from long range and scored 19. Taurasi also had 9 rebounds and 5 assists, her 97th game of at least 10 points, 5 rebounds and 5 assists. That's second in WNBA history to only retired star Candace Parker, who had 121."
espnw,us,Mercury snap Liberty streak as teams combine for record 33 3s,Michael Voepel,"Jun 19, 2024, 01:32 AM ET","""To come out with a win tonight, especially with how many 3s they made, says a lot about the grit of our team,"" said Allen, who burned her former team Tuesday. She played seven seasons with the Liberty, then spent last year with Connecticut and is in her first season in Phoenix."
espnw,us,Mercury snap Liberty streak as teams combine for record 33 3s,Michael Voepel,"Jun 19, 2024, 01:32 AM ET","Allen missed five games because of a concussion, but on Tuesday she looked strong on both ends of the court."
espnw,us,Mercury snap Liberty streak as teams combine for record 33 3s,Michael Voepel,"Jun 19, 2024, 01:32 AM ET","""I'm really happy for Bec because she chose us in free agency,"" Tibbetts said. ""I'm super proud of Bec. It was a hell of a performance by her. We need her with that mentality -- just let it fly."""
espnw,us,Mercury snap Liberty streak as teams combine for record 33 3s,Michael Voepel,"Jun 19, 2024, 01:32 AM ET","The Mercury also got help inside from Brittney Griner, who missed their first 10 games because of a toe injury. She returned to action June 7 and has scored in double figures in each of her five games, including 19 points Tuesday. Phoenix has won four of those games and is now 8-7."
espnw,us,Mercury snap Liberty streak as teams combine for record 33 3s,Michael Voepel,"Jun 19, 2024, 01:32 AM ET","Griner being back has made a huge difference for Phoenix, but the story of the night was the perimeter success."
espnw,us,Mercury snap Liberty streak as teams combine for record 33 3s,Michael Voepel,"Jun 19, 2024, 01:32 AM ET","""Honestly, when you're in [the game], you're not even focused on the shootout or how many 3s you have,"" said Phoenix's Sophie Cunningham, who hit three shots from behind the arc and finished with 13 points. ""We share the ball and have a whole bunch of shooters on the court."""
