question,contexts,ground_truth,evolution_type,metadata,episode_done
How many home runs did Mays hit in one game in Milwaukee in 1961?,"['One night in Milwaukee in 1961, Mays hit four home runs in one game.']",Mays hit four home runs in one game in Milwaukee in 1961.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov', 'author': 'Tim Kurkjian', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET'}]",True
How does having a quarterback on a rookie contract benefit a franchise?,"[""On the flip side, the value of a quarterback on a rookie contract allows a franchise to invest in the roster around him because rookies come so cheap. But in this case, they pay a veteran QB price for Cousins in the first two years of Penix's contract. To make the two moves together shows a lack of vision.""]",Having a quarterback on a rookie contract benefits a franchise because it allows the team to invest in the roster around him due to the lower cost of the rookie contract.,simple,"[{'site': 'espn', 'country': 'us', 'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'author': 'Seth Walder', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}]",True
What would the Cowboys need to do if they want to move up for a quarterback in the draft?,"[""It's too early to even project whom the Cowboys might consider looking for in next year's draft or even where their picks might land. They have each of their own picks through the first six rounds and project to land four comp picks across Round 5 and 6, but they don't have significant extra draft capital laying around if they want to move up for a particular quarterback. Dallas would likely need to dip into its 2026 capital if it wants to jump forward in 2025.""]",The Cowboys would likely need to dip into their 2026 capital if they want to move up for a particular quarterback in the draft.,simple,"[{'site': 'espn', 'country': 'us', 'title': ""Dak Prescott's Cowboys future: New contract or test free agency?"", 'author': 'Bill Barnwell', 'content_publish_date': 'Jun 19, 2024, 06:15 AM ET'}]",True
What is the condition for the Raptors to receive a first-round pick from Indiana in 2026?,['The Raptors have their own first in the next seven years and a 2026 top-four-protected first from Indiana. The first is top-four protected in 2027 if not conveyed. Toronto has six second-round picks available.'],The condition for the Raptors to receive a first-round pick from Indiana in 2026 is that it is top-four protected.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
Why were there no substantial contract offers for Kyrie Irving last offseason?,['Remember last offseason when Kyrie Irving entered free agency and there were no teams willing to offer a substantial contract other than the Dallas Mavericks?'],nan,simple,"[{'site': 'espn', 'country': 'us', 'title': '2024 NBA free agency: Players to sign, contract predictions', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 17, 2024, 07:15 AM ET'}]",True
Why was Jurickson Profar considered one of the worst-hitting regulars in baseball last season?,"[""OK, this is a little awkward. When I ran through the NL outfielder stats, only one player stood out, and he is a huge surprise: Jurickson Profar, who was one of the worst-hitting regulars in baseball last season with the Rockies (and briefly with the Padres). This season, he's hitting over .300 and leads the NL in OBP. After that, it gets a little murky. Fernando Tatis Jr. gets the second nod; he's been fine, but nothing like his 2019-2021 numbers. I went with Teoscar Hernandez as my third starter. The reserve choices are almost nonexistent.""]",Jurickson Profar was considered one of the worst-hitting regulars in baseball last season because of his performance with the Rockies (and briefly with the Padres).,simple,"[{'site': 'espn', 'country': 'us', 'title': 'Still-too-early 2024 MLB All-Stars: AL, NL roster predictions', 'author': 'David Schoenfield', 'content_publish_date': 'Jun 13, 2024, 07:00 AM ET'}]",True
What restrictions do the Clippers face as a second-apron team?,"['CBA impact: The Clippers are in the second apron until June 30. They are not allowed to send out cash in a trade, take back more money or aggregate salaries. They are a projected second-apron team if George and Harden are brought back.']","The Clippers, as a second-apron team, are not allowed to send out cash in a trade, take back more money, or aggregate salaries.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
How many National League batting titles did Mays win?,"[""Mays hit 660 home runs, now sixth most of all time. He had 3,283 hits, 11th most ever. He won two MVPs, 11 years apart. He had a .302 average, an OPS over .900 for 13 straight years, an OPS over 1.000 in five seasons. He won a National League batting title and four home run titles. He played 14 years in Candlestick Park, a big ballpark with swirling winds; in another home ballpark, he might have hit 700 homers. If he hadn't missed nearly two prime seasons to military service, he might have hit closer to 800. His swing was short and compact. He often stepped in the bucket, but could still cover the outside part of the plate.""]",Mays won one National League batting title.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov', 'author': 'Tim Kurkjian', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET'}]",True
What is Harden's contract status for the upcoming season?,['George has a player option on the $48.8 million due next season and can become a free agent if he and the Clippers are unable to come to an agreement on an extension before June 30. Harden will be an unrestricted free agent.'],Harden will be an unrestricted free agent.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Latest signings, news, buzz and reports', 'author': 'ESPN ESPN', 'content_publish_date': 'Jun 18, 2024, 09:17 PM ET'}]",True
What was the Atlanta Hawks' 2023-24 record and result in the play-in tournament?,['21. Atlanta Hawks2023-24 record: 36-46Result: Eliminated in play-in tournament2024 draft pick: No. 1 (own)'],"The Atlanta Hawks' 2023-24 record was 36-46, and they were eliminated in the play-in tournament.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""NBA Power Rankings, way-too-early edition: Our post-Finals look at all 30 teams' 2024-25"", 'author': 'ESPN ESPN', 'content_publish_date': 'Jun 17, 2024, 11:00 PM ET'}]",True
