question,ground_truth,answer,contexts
How many home runs did Mays hit in one game in Milwaukee in 1961?,Mays hit four home runs in one game in Milwaukee in 1961.,Mays hit four home runs in one game in Milwaukee in 1961.,"[{'document': 'One night in Milwaukee in 1961, Mays hit four home runs in one game.', 'metadata': {'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET'}}, {'document': 'In his 22-year career, Mays led the NL in home runs four times, and when he retired, his 660 home runs ranked third in big league history; he now ranks sixth behind Bonds, Hank Aaron, Ruth, Alex Rodriguez and Albert Pujols. He also finished his career with 3,283 hits (12th all time) and 1,903 RBIs (12th all time).', 'metadata': {'title': ""Legendary outfielder Willie Mays, 'Say Hey Kid,' dies at 93"", 'content_publish_date': 'Jun 18, 2024, 09:03 PM ET'}}, {'document': ""Mays hit 660 home runs, fifth-most of all time; he led the league in home runs four times, had six 40-homer seasons and led the league in slugging five times, all while playing a good portion of his career in a pitchers' ballpark and in a pitchers' era."", 'metadata': {'title': 'Why there will never be another MLB player like Willie Mays', 'content_publish_date': 'Jun 18, 2024, 10:34 PM ET'}}]"
How does having a quarterback on a rookie contract benefit a franchise?,Having a quarterback on a rookie contract benefits a franchise because it allows the team to invest in the roster around him due to the lower cost of the rookie contract.,"Having a quarterback on a rookie contract can significantly benefit a franchise in terms of financial flexibility and roster building. Here's how:

1. Cost-Effectiveness: Rookie contracts, especially for quarterbacks, are typically much cheaper than veteran contracts. This is because rookies are usually paid according to the NFL's collective bargaining agreement salary scales, which are relatively low compared to the market value of experienced players. As mentioned in the text, rookies come cheap, allowing the franchise to allocate more money to other positions and build a stronger supporting cast around the quarterback.

2. Roster Investment: With the money saved from the quarterback's rookie contract, the franchise can invest in other areas of the roster. They can sign quality players to surround the quarterback with talent, improving the overall strength of the team. This is a strategic approach to building a competitive roster while managing salary cap constraints.

3. Long-Term Planning: As the text points out, teams often aim to sign their quarterbacks to long-term extensions before their fourth season. This allows them to spread out a significant signing bonus over a longer period, providing financial stability and ensuring the quarterback's services for the long term. For quarterbacks without a fifth-year option, this extension becomes crucial to avoid a lame-duck situation in the final year of their contract.

4. Avoiding Salary Cap Strain: By signing a quarterback to a rookie contract, teams can avoid the salary cap strain that often comes with veteran quarterback contracts. This is particularly important for franchises that have made contract errors in the past, as mentioned in the case of the Giants and Daniel Jones.

5. Flexibility for Future Moves: A rookie quarterback contract provides the franchise with flexibility to make other moves, such as trading for or drafting another quarterback, without being heavily burdened by a large veteran quarterback contract.

In summary, a quarterback on a rookie contract can provide a franchise with the financial freedom to invest in other areas of the roster, plan for the long term, and make strategic moves to build a competitive team.","[{'document': ""On the flip side, the value of a quarterback on a rookie contract allows a franchise to invest in the roster around him because rookies come so cheap. But in this case, they pay a veteran QB price for Cousins in the first two years of Penix's contract. To make the two moves together shows a lack of vision."", 'metadata': {'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}}, {'document': ""With one year left to go on his rookie deal and no fifth-year option available, the Cowboys found themselves in the window in which virtually every team will sign their quarterback. When they've landed on a passer they like, most organizations will ink him to a long-term extension before he enters his fourth season, allowing them to spread a significant signing bonus over the longest window possible. For quarterbacks who don't have a fifth-year option, such as Prescott with the Cowboys and Russell Wilson with the Seahawks, there's really no choice but to do the extension between Years 3 and 4. Teams are almost always loathe to have their starting quarterback enter the final year of their deal in a lame-duck situation without an extension."", 'metadata': {'title': ""Dak Prescott's Cowboys future: New contract or test free agency?"", 'content_publish_date': 'Jun 19, 2024, 06:15 AM ET'}}, {'document': ""The Giants are hamstrung by their Daniel Jones contract error a year ago, when they guaranteed the quarterback $80 million with the franchise tag available. That didn't preclude them from going after another quarterback -- they tried to trade up to pick Drake Maye -- but once they failed to make that move, I think it was OK to pass on the second tier of rookie QBs."", 'metadata': {'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}}]"
What would the Cowboys need to do if they want to move up for a quarterback in the draft?,The Cowboys would likely need to dip into their 2026 capital if they want to move up for a particular quarterback in the draft.,The Cowboys would need to use their 2026 draft capital if they want to move up in the 2025 draft to select a quarterback. They don't have much extra draft capital available at the moment to make such a move.,"[{'document': ""It's too early to even project whom the Cowboys might consider looking for in next year's draft or even where their picks might land. They have each of their own picks through the first six rounds and project to land four comp picks across Round 5 and 6, but they don't have significant extra draft capital laying around if they want to move up for a particular quarterback. Dallas would likely need to dip into its 2026 capital if it wants to jump forward in 2025."", 'metadata': {'title': ""Dak Prescott's Cowboys future: New contract or test free agency?"", 'content_publish_date': 'Jun 19, 2024, 06:15 AM ET'}}, {'document': ""A quarterback in the draft. Going with the least expensive option would allow the Cowboys to retain the most talent around their quarterback possible. Adding a veteran backup to take over for Lance and using a top-60 draft pick on a passer to take over would set them up with cap space, especially after Prescott's dead money falls off in 2026. It would hardly be any trouble to pay Lamb, Cooks, tight end Jake Ferguson and several offensive linemen significant money, let alone key players on the defensive side of the ball. They would have about $55 million to toss around as opposed to what they would spend annually on Prescott."", 'metadata': {'title': ""Dak Prescott's Cowboys future: New contract or test free agency?"", 'content_publish_date': 'Jun 19, 2024, 06:15 AM ET'}}, {'document': ""Could we trust the Cowboys to draft the right quarterback? I'm not so sure. While they are typically a team that drafts well and made a great move to land Prescott in 2017, remember that he was no better than their third choice at quarterback that year. They wanted to take Paxton Lynch in the first round, only for the Broncos to beat them to the punch. They were about to trade up and draft Connor Cook on Day 2, but the Raiders jumped ahead of them. Neither player made an impact in the NFL. Dallas settled for Prescott, who took over for an injured Romo and never looked back."", 'metadata': {'title': ""Dak Prescott's Cowboys future: New contract or test free agency?"", 'content_publish_date': 'Jun 19, 2024, 06:15 AM ET'}}]"
What is the condition for the Raptors to receive a first-round pick from Indiana in 2026?,The condition for the Raptors to receive a first-round pick from Indiana in 2026 is that it is top-four protected.,The condition for the Raptors to receive a first-round pick from Indiana in 2026 is that the pick is top-four protected.,"[{'document': 'The Raptors have their own first in the next seven years and a 2026 top-four-protected first from Indiana. The first is top-four protected in 2027 if not conveyed. Toronto has six second-round picks available.', 'metadata': {'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}}, {'document': ""The trades to acquire Jrue Holiday in 2020 and Damian Lillard last season have depleted the Bucks' future first-round picks. The Bucks will send their 2025 first-round pick to New Orleans (if the pick's range is within Nos. 1-4) or New York (if within Nos. 5-30). The Pelicans also have the right to swap firsts in 2026 and have an unprotected 2027 first from Milwaukee. The Trail Blazers have the right to swap firsts in 2028 and 2030. Portland will also receive an unprotected first in 2029. The Bucks have one second-round pick available to trade (2031)."", 'metadata': {'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}}, {'document': 'The Nuggets are limited with draft assets and can move their 2024 first-rounder starting the night of the draft. From the Aaron Gordon trade, Denver will send Orlando a 2025 top-five-protected first. The pick is also top-five protected in 2026 if not conveyed. Two years after that condition is met, Denver will send Oklahoma City a top-five-protected first. The pick is top-five protected in the next two years (2028 and 2029).', 'metadata': {'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}}]"
Why were there no substantial contract offers for Kyrie Irving last offseason?,,"The reason why there were no substantial contract offers for Kyrie Irving last offseason, other than from the Dallas Mavericks, was likely due to Irving's market value and the leverage held by the Mavericks.

Irving, an All-Star player, was seeking a new contract as a free agent. The Mavericks offered him a three-year, $120 million deal, which was considered a compromise by the team. This contract ensured Irving received an average salary of $40 million while also providing the Mavericks with flexibility to build the rest of their roster.

Other teams may have been hesitant to offer Irving a substantial contract due to his market value and the Mavericks' willingness to negotiate. The Mavericks were in a position of leverage, and their offer demonstrated their commitment to Irving, ensuring he didn't feel unwanted. As a result, other teams might have been discouraged from engaging in a bidding war, especially if they felt the Mavericks were bidding against themselves.

The article also mentions that the Mavericks were ridiculed for their contract offer, suggesting that other teams and observers believed Irving's value didn't match the terms of the deal. This perception could have further deterred other teams from making substantial offers.","[{'document': 'Remember last offseason when Kyrie Irving entered free agency and there were no teams willing to offer a substantial contract other than the Dallas Mavericks?', 'metadata': {'title': '2024 NBA free agency: Players to sign, contract predictions', 'content_publish_date': 'Jun 17, 2024, 07:15 AM ET'}}, {'document': ""Irving signed a three-year, $120 million deal, and the Mavericks were ridiculed because they were considered to be bidding against themselves. Irving's contract illustrated the Mavericks' willingness to compromise and not have the All-Star feel unwanted, despite their position of leverage."", 'metadata': {'title': '2024 NBA free agency: Players to sign, contract predictions', 'content_publish_date': 'Jun 17, 2024, 07:15 AM ET'}}, {'document': 'Irving was rewarded with an average salary of $40 million but also gave the Mavericks flexibility to build out the roster. The savings allowed Dallas to sign-and-trade for Grant Williams and remain below the first apron. Williams was then traded to Charlotte for P.J. Washington.', 'metadata': {'title': '2024 NBA free agency: Players to sign, contract predictions', 'content_publish_date': 'Jun 17, 2024, 07:15 AM ET'}}]"
Why was Jurickson Profar considered one of the worst-hitting regulars in baseball last season?,Jurickson Profar was considered one of the worst-hitting regulars in baseball last season because of his performance with the Rockies (and briefly with the Padres).,"Jurickson Profar was considered one of the worst-hitting regulars in baseball last season due to his performance with the Colorado Rockies and briefly with the San Diego Padres. His statistics from the previous season were not mentioned, but it is implied that his batting average and overall hitting performance were significantly lower compared to the current season.","[{'document': ""OK, this is a little awkward. When I ran through the NL outfielder stats, only one player stood out, and he is a huge surprise: Jurickson Profar, who was one of the worst-hitting regulars in baseball last season with the Rockies (and briefly with the Padres). This season, he's hitting over .300 and leads the NL in OBP. After that, it gets a little murky. Fernando Tatis Jr. gets the second nod; he's been fine, but nothing like his 2019-2021 numbers. I went with Teoscar Hernandez as my third starter. The reserve choices are almost nonexistent."", 'metadata': {'title': 'Still-too-early 2024 MLB All-Stars: AL, NL roster predictions', 'content_publish_date': 'Jun 13, 2024, 07:00 AM ET'}}, {'document': 'Pete Rose""I felt sorry for Willie in a way having to play at that s---hole Candlestick. That was the worst place in the world to play baseball. It was always windy and cold. The sun was always in your eyes. There were 10,000, 12,000 people at every game. If he played today in the bandboxes in Cincinnati and Philadelphia and some other places, he\'d hit 70 homers a year. He wasn\'t just a power hitter. He was a good hitter. He loved to talk hitting. If he had hit behind me and [Joe] Morgan, he\'d have driven in 500 or 600 more runs.""', 'metadata': {'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET'}}, {'document': ""That brings us to Wetherholt. He might be a major league shortstop and is definitely an infielder. He's basically above average at everything ranging from the elements of hitting to all five traditional physical tools. He's devalued a bit from playing in the Big 12 (rather than the SEC or ACC) and missing half the season with a hamstring strain while also not having a conventional physical look to a No. 1 pick. For all of these reasons, he may actually cut a deal -- especially since there doesn't seem to be a path for him to go in the top five other than at this pick. And there's a whiff of Jose Ramirez to his game, rumored to be the archetype Cleveland has been using in prioritizing hit-first, up-the-middle type players for close to a decade."", 'metadata': {'title': '2024 MLB mock draft 2.0: Predicting the first two rounds', 'content_publish_date': 'Jun 19, 2024, 07:00 AM ET'}}]"
What restrictions do the Clippers face as a second-apron team?,"The Clippers, as a second-apron team, are not allowed to send out cash in a trade, take back more money, or aggregate salaries.","As a second-apron team until June 30, the Los Angeles Clippers face several restrictions under the Collective Bargaining Agreement (CBA). These restrictions include:

1. No sending out cash in a trade: The Clippers are prohibited from including cash as part of a trade deal. This limits their ability to offer financial incentives to other teams when negotiating trades.

2. Cannot take back more money: They are not allowed to acquire players whose contracts would increase their total salary commitments. This restriction aims to prevent the team from further exceeding the salary cap or luxury tax threshold.

3. Cannot aggregate salaries: The Clippers are restricted from combining the salaries of multiple players to match salaries in a trade. This rule adds complexity to their trade negotiations, as they must find ways to balance salaries without aggregating contracts.

These restrictions are in place to promote financial responsibility and competitive balance within the league. By limiting the Clippers' ability to take on additional salary commitments, the CBA aims to prevent excessive spending and ensure a more level playing field for all teams.

The Clippers' status as a projected second-apron team for the 2024-25 season is likely due to their significant tax penalties in recent years, totaling $377 million over the past four seasons.","[{'document': 'CBA impact: The Clippers are in the second apron until June 30. They are not allowed to send out cash in a trade, take back more money or aggregate salaries. They are a projected second-apron team if George and Harden are brought back.', 'metadata': {'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}}, {'document': 'Balancing the checkbook now and in the future. The Clippers have paid $377 million in tax penalties the past four seasons and are a projected second-apron team in 2024-25.', 'metadata': {'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}}, {'document': 'CBA impact: Because Golden State is a second-apron team until June 30, it is not allowed to send out cash, aggregate contracts or take back more money in a trade. The restrictions are lifted starting July 1 if the Warriors go below the second apron.', 'metadata': {'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}}]"
How many National League batting titles did Mays win?,Mays won one National League batting title.,Mays won one National League batting title.,"[{'document': ""Mays hit 660 home runs, now sixth most of all time. He had 3,283 hits, 11th most ever. He won two MVPs, 11 years apart. He had a .302 average, an OPS over .900 for 13 straight years, an OPS over 1.000 in five seasons. He won a National League batting title and four home run titles. He played 14 years in Candlestick Park, a big ballpark with swirling winds; in another home ballpark, he might have hit 700 homers. If he hadn't missed nearly two prime seasons to military service, he might have hit closer to 800. His swing was short and compact. He often stepped in the bucket, but could still cover the outside part of the plate."", 'metadata': {'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET'}}, {'document': ""Mays won 12 Gold Gloves. Consider this, though: They didn't begin being awarded until 1957; he could have won 16. He had tremendous speed, incredible range and got as good a jump on the ball as anyone ever."", 'metadata': {'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET'}}, {'document': 'In his 22-year career, Mays led the NL in home runs four times, and when he retired, his 660 home runs ranked third in big league history; he now ranks sixth behind Bonds, Hank Aaron, Ruth, Alex Rodriguez and Albert Pujols. He also finished his career with 3,283 hits (12th all time) and 1,903 RBIs (12th all time).', 'metadata': {'title': ""Legendary outfielder Willie Mays, 'Say Hey Kid,' dies at 93"", 'content_publish_date': 'Jun 18, 2024, 09:03 PM ET'}}]"
What is Harden's contract status for the upcoming season?,Harden will be an unrestricted free agent.,Harden will be an unrestricted free agent for the upcoming season.,"[{'document': 'George has a player option on the $48.8 million due next season and can become a free agent if he and the Clippers are unable to come to an agreement on an extension before June 30. Harden will be an unrestricted free agent.', 'metadata': {'title': 'NBA free agency 2024: Latest signings, news, buzz and reports', 'content_publish_date': 'Jun 18, 2024, 09:17 PM ET'}}, {'document': 'As free agency nears, George\'s future remains the top question. George has until July 1 to agree to an extension. But Lawrence Frank, president of basketball operations, has called George and James Harden ""free agents."" The team signed Kawhi Leonard to a three-year, $150 million extension during the season, and George will likely see if he can get more. But the Clippers can\'t afford to lose George or Harden and will want to keep their star trio together to continue building around them.. -- Youngmisuk', 'metadata': {'title': ""NBA Power Rankings, way-too-early edition: Our post-Finals look at all 30 teams' 2024-25"", 'content_publish_date': 'Jun 17, 2024, 11:00 PM ET'}}, {'document': 'Harden has earned $340 million in his career, and the thinking from the Clippers cannot be that the 2018 MVP does not have options. There is no reason to believe he would not sign for the $3.1 million minimum exception if it allows him compete for a title.', 'metadata': {'title': '2024 NBA free agency: Players to sign, contract predictions', 'content_publish_date': 'Jun 17, 2024, 07:15 AM ET'}}]"
What was the Atlanta Hawks' 2023-24 record and result in the play-in tournament?,"The Atlanta Hawks' 2023-24 record was 36-46, and they were eliminated in the play-in tournament.","The Atlanta Hawks' 2023-24 record was 36-46, and they were eliminated in the play-in tournament.","[{'document': '21. Atlanta Hawks2023-24 record: 36-46Result: Eliminated in play-in tournament2024 draft pick: No. 1 (own)', 'metadata': {'title': ""NBA Power Rankings, way-too-early edition: Our post-Finals look at all 30 teams' 2024-25"", 'content_publish_date': 'Jun 17, 2024, 11:00 PM ET'}}, {'document': '22. Chicago Bulls2023-24 record: 39-43Result: Eliminated in play-in tournament2024 draft pick: No. 11 (own)', 'metadata': {'title': ""NBA Power Rankings, way-too-early edition: Our post-Finals look at all 30 teams' 2024-25"", 'content_publish_date': 'Jun 17, 2024, 11:00 PM ET'}}, {'document': '17. Sacramento Kings2023-24 record: 46-36Result: Eliminated in play-in tournament2024 draft picks: No. 13 and No. 45', 'metadata': {'title': ""NBA Power Rankings, way-too-early edition: Our post-Finals look at all 30 teams' 2024-25"", 'content_publish_date': 'Jun 17, 2024, 11:00 PM ET'}}]"
