question,ground_truth
How many home runs did Mays hit in one game in Milwaukee in 1961?,Mays hit four home runs in one game in Milwaukee in 1961.
How does having a quarterback on a rookie contract benefit a franchise?,Having a quarterback on a rookie contract benefits a franchise because it allows the team to invest in the roster around him due to the lower cost of the rookie contract.
What would the Cowboys need to do if they want to move up for a quarterback in the draft?,The Cowboys would likely need to dip into their 2026 capital if they want to move up for a particular quarterback in the draft.
What is the condition for the Raptors to receive a first-round pick from Indiana in 2026?,The condition for the Raptors to receive a first-round pick from Indiana in 2026 is that it is top-four protected.
Why were there no substantial contract offers for Kyrie Irving last offseason?,
Why was Jurickson Profar considered one of the worst-hitting regulars in baseball last season?,Jurickson Profar was considered one of the worst-hitting regulars in baseball last season because of his performance with the Rockies (and briefly with the Padres).
What restrictions do the Clippers face as a second-apron team?,"The Clippers, as a second-apron team, are not allowed to send out cash in a trade, take back more money, or aggregate salaries."
How many National League batting titles did Mays win?,Mays won one National League batting title.
What is Harden's contract status for the upcoming season?,Harden will be an unrestricted free agent.
What was the Atlanta Hawks' 2023-24 record and result in the play-in tournament?,"The Atlanta Hawks' 2023-24 record was 36-46, and they were eliminated in the play-in tournament."
What event took place at Wrigley Field during the Giants vs. Cubs game on Tuesday night?,"During the Giants vs. Cubs game on Tuesday night, the Wrigley Field crowd of 36,292 stood in a salute to Mays during a moment of silence when his death was announced on the left-field video board in the sixth inning."
Why do many teams steer away from college position players with in-zone miss concerns?,Many teams steer away from college position players with in-zone miss concerns because of the risk associated with those concerns.
How much has Harden earned in his career?,Harden has earned $340 million in his career.
What did Yogi Berra say he wanted on his tombstone during the Hall of Fame gathering?,Yogi Berra said he wanted 'It's over' on his tombstone during the Hall of Fame gathering.
What could cause Chicago to exceed the luxury tax threshold for the first time since 2015-16?,"If free agents DeRozan and Williams are signed, Chicago could exceed the luxury tax for the first time since 2015-16."
What was significant about the Giants' 1954 world championship win for Mays?,The Giants' 1954 world championship win was significant for Mays because it was his first full season after missing most of 1952 and all of 1953 due to military service.
How did stolen bases distinguish Mays from other power hitters?,"Stolen bases distinguished Mays from other power hitters because of his innate feel for baserunning, which included going first to third, scoring from second on a single, and legging out triples."
Why did the Giants try to trade up to pick Drake Maye?,"The Giants tried to trade up to pick Drake Maye because they were hamstrung by their Daniel Jones contract error a year ago, when they guaranteed the quarterback $80 million with the franchise tag available."
How did Florida's goaltending and defensive commitment contribute to their performance in the postseason?,"Florida's goaltending, particularly by Bobrovsky, was exceptional throughout the postseason. This was supported by a stellar defensive commitment from the players in front of him."
What makes the Celtics unique in the league regarding super max deals?,The Celtics are unique in the league because they would be the only team to have two super max deals.
What did Hall of Famer Bob Feller say about the catch made by Willie Mays?,"Hall of Famer Bob Feller said, 'That really wasn't that great of a catch. As soon as it was hit, everyone on our bench knew that he was going to catch it ... because he is Willie Mays.'"
What is Miami expected to receive in return for losing Wilkins and Hunt in free agency?,Miami is expected to receive a third-round compensatory pick for each of them.
Which team is Sean Monahan associated with?,Sean Monahan is associated with Winnipeg.
