question,contexts,ground_truth,evolution_type,metadata,episode_done
How many receptions did Allen finish with last season despite missing four games due to injuries?,"[""Why he's the best at his age: Allen is a highly skilled route runner with the elite coverage awareness to find open grass. He finished last season with 103 receptions despite missing four games due to injuries. He has produced 904 receptions over 11 seasons.""]",Allen finished last season with 103 receptions despite missing four games due to injuries.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'Best NFL, college, high school football players by age 14-40', 'author': 'Matt Bowen and Jordan Reid and Billy Tucker', 'content_publish_date': 'Jun 13, 2024, 06:25 AM ET'}]",True
"What is the status of Brandon Miller, Bridges, and Ball on the current roster?","['After the team went 10-20 after the February trade deadline, what direction does new general manager Jeff Peterson take with the current roster? Thirteen players under contract earning between $2 million and $16 million. Three NBA-caliber starters in Brandon Miller, Bridges and Ball. In his tenure in Brooklyn, Peterson was part of 20 different trades. However, that was a win-now team, not a rebuilding one such as Charlotte.']","Brandon Miller, Bridges, and Ball are considered NBA-caliber starters on the current roster.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
How will the Bucks work on maximizing the team around Giannis Antetokounmpo?,"[""How do the Bucks improve around Dame and Giannis? The Bucks reshaped their team over the past year with a pair of major additions, adding star guard Damian Lillard and Hall of Fame coach Doc Rivers to chase a title with Giannis Antetokounmpo. Milwaukee will need to reevaluate how to best maximize the team around those three. Rivers has already begun to overhaul his coaching staff, and the Bucks will look for ways this offseason to refresh the role players around their star duo -- while working on how Lillard and Antetokounmpo can flourish with a full year together under Rivers' guidance. -- Jamal Collier""]","The Bucks will need to reevaluate how to best maximize the team around Giannis Antetokounmpo, including refreshing the role players around their star duo and working on how Lillard and Antetokounmpo can flourish with a full year together under Rivers' guidance.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""NBA Power Rankings, way-too-early edition: Our post-Finals look at all 30 teams' 2024-25"", 'author': 'ESPN ESPN', 'content_publish_date': 'Jun 17, 2024, 11:00 PM ET'}]",True
How has the Cowboys' strategy of managing contracts affected their dead cap situation?,"[""While this might be an extreme example, the idea of having a top-heavy roster isn't new for the Cowboys. Over the past 25 years, they have been the most extreme example of a team willing to pay top dollar for a few (often homegrown) stars to serve as the core of their roster, even if it means having less depth than most other teams. They typically executed that philosophy by handing out long contracts and repeatedly restructuring bonuses to create short-term cap space at the expense of eventual dead cap when that player leaves. It ended up costing them edge rusher DeMarcus Ware for cap purposes -- the future Hall of Famer was released in 2014 -- and limited their ability to build around Prescott when he was on a bargain-basement deal, given that they were stuck paying out millions in dead money for Tony Romo's deal after the long-time quarterback starter was released in 2017.""]","The Cowboys' strategy of managing contracts by handing out long contracts and repeatedly restructuring bonuses to create short-term cap space has resulted in significant dead cap issues. This approach cost them edge rusher DeMarcus Ware, who was released in 2014 for cap purposes, and limited their ability to build around Prescott due to paying out millions in dead money for Tony Romo's deal after he was released in 2017.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""Dak Prescott's Cowboys future: New contract or test free agency?"", 'author': 'Bill Barnwell', 'content_publish_date': 'Jun 19, 2024, 06:15 AM ET'}]",True
What are the perceived weaknesses of the Cardinals defense?,"['Defensively, the Cardinals signed defensive end Justin Jones, cornerback Sean Murphy-Bunting and defensive end Bilal Nichols. But the defense looks weak on paper, particularly in terms of pass rush and at corner.']",The perceived weaknesses of the Cardinals defense are in terms of pass rush and at corner.,simple,"[{'site': 'espn', 'country': 'us', 'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'author': 'Seth Walder', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}]",True
What impact did the season-ending ankle injury have on Lance's career with the 49ers?,"[""The problem is that development, of course. Lance simply hasn't played much football. After throwing 287 passes in 2019 at North Dakota State, Lance was limited to one start in 2020 by the impact of COVID on the college season. After being drafted by the 49ers at No. 3 overall, he made two starts as a rookie and two more in his sophomore season before suffering a season-ending ankle injury, after which Brock Purdy emerged as the franchise's quarterback of the future. He has a total of 102 pass attempts as a pro, giving him 420 passes over six years since graduating from high school.""]","The season-ending ankle injury led to Brock Purdy emerging as the franchise's quarterback of the future, impacting Lance's career with the 49ers.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""Dak Prescott's Cowboys future: New contract or test free agency?"", 'author': 'Bill Barnwell', 'content_publish_date': 'Jun 19, 2024, 06:15 AM ET'}]",True
What did McDavid say about his approach to scoring from that side of the goal?,"['""I don\'t want to give away too much, as there\'s still hockey to be played, but coming in on that side of the goal, I\'ve gone short side lots,"" McDavid said. ""I would say most people know that I look there. He was standing. [Hyman] is always around the net, so I tried to put it there and it found a way in.""']","McDavid said that coming in on that side of the goal, he has gone short side lots and that most people know he looks there. He also mentioned that Hyman is always around the net, so he tried to put it there and it found a way in.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""Oilers survive Panthers' comeback attempt to force Game 6"", 'author': 'Greg Wyshynski', 'content_publish_date': 'Jun 18, 2024, 11:07 PM ET'}]",True
How can Houston improve the offense without losing their identity on the defensive end?,['Improving the offense without losing the identity on the defensive end -- Houston ranked 10th in defensive efficiency and 20th offensive efficiency.'],nan,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
What is the official capacity of CPKC Stadium in Kansas City?,"[""Kansas City has sold out every game thus far at CPKC Stadium, where the official capacity is 11,500. The Current are the off-field NWSL success story of 2024 (they're also unbeaten through 13 games) and they have opened the eyes of other team's ownership groups to the tangible, layered benefits of owning a stadium.""]","The official capacity of CPKC Stadium in Kansas City is 11,500.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'How NWSL teams are elevating the gameday experience for fans', 'author': 'Jeff Kassouf', 'content_publish_date': 'Jun 18, 2024, 08:00 AM ET'}]",True
Who provides the draft preview content for the top prospects in the 2024 NHL draft?,['The 2024 NHL draft will take place June 28-29 in Las Vegas. Get caught up on everything you need to know about the top prospects with draft preview content from Rachel Doerrie:'],Rachel Doerrie provides the draft preview content for the top prospects in the 2024 NHL draft.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'GMs, agents predict the NHL summer: Trades, free agency, more', 'author': 'Greg Wyshynski', 'content_publish_date': 'Jun 12, 2024, 07:00 AM ET'}]",True
