question,contexts,ground_truth,evolution_type,metadata,episode_done
What did Hall of Famer Bob Feller say about the catch made by Willie Mays?,"['Hall of Famer Bob Feller""That really wasn\'t that great of a catch. As soon as it was hit, everyone on our bench knew that he was going to catch it ... because he is Willie Mays.""']","Hall of Famer Bob Feller said, 'That really wasn't that great of a catch. As soon as it was hit, everyone on our bench knew that he was going to catch it ... because he is Willie Mays.'",simple,"[{'site': 'espn', 'country': 'us', 'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov', 'author': 'Tim Kurkjian', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET'}]",True
What is Miami expected to receive in return for losing Wilkins and Hunt in free agency?,"['Miami was set up to lose some talent this offseason and it did. Wilkins and Hunt left in free agency for monster deals with the Raiders and Panthers, respectively. While the Dolphins would have been better on the field in 2024 with those players, it made sense not to match the offers they received. Miami is expected to receive a third-round compensatory pick for each of them, per OverTheCap. Safety Brandon Jones, edge rusher Andrew Van Ginkel, linebacker Jerome Baker and defensive tackle Raekwon Davis all left, too.']",Miami is expected to receive a third-round compensatory pick for each of them.,simple,"[{'site': 'espn', 'country': 'us', 'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'author': 'Seth Walder', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}]",True
Which team is Sean Monahan associated with?,"['The center spot has Elias Lindholm (Vancouver), Sean Monahan (Winnipeg) and Matt Duchene (Dallas).']",Sean Monahan is associated with Winnipeg.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'GMs, agents predict the NHL summer: Trades, free agency, more', 'author': 'Greg Wyshynski', 'content_publish_date': 'Jun 12, 2024, 07:00 AM ET'}]",True
"Which team is seeking solutions in goal along with the Devils, Los Angeles Kings, Toronto Maple Leafs, and potentially the Carolina Hurricanes?","['The teams seeking solutions in goal include the Devils, Los Angeles Kings, Toronto Maple Leafs, Ottawa Senators and potentially the Carolina Hurricanes.']","The Ottawa Senators are seeking solutions in goal along with the Devils, Los Angeles Kings, Toronto Maple Leafs, and potentially the Carolina Hurricanes.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'GMs, agents predict the NHL summer: Trades, free agency, more', 'author': 'Greg Wyshynski', 'content_publish_date': 'Jun 12, 2024, 07:00 AM ET'}]",True
"What were the reasons for loving the signing of Greenard, particularly in terms of his pass rush and run stop win rates?","['The Vikings signed receiver Justin Jefferson to a massive long-term deal, as they should have. Although the $35 million APY comes with a little sticker shock, it could have been richer. After adjusting for cap inflation, the APY and guaranteed money at signing trailed recent deals for other top non-QBs such as T.J. Watt and Nick Bosa. I also loved the signing of Greenard, who posted strong pass rush and run stop win rates last season, especially considering that he was cheaper than Danielle Hunter.']","The signing of Greenard was loved because he posted strong pass rush and run stop win rates last season, and he was cheaper than Danielle Hunter.",simple,"[{'site': 'espn', 'country': 'us', 'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'author': 'Seth Walder', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}]",True
What role does Ty Schmit play in evaluating the Vikings' QB options?,"[""Pat McAfee and Ty Schmit evaluate the Vikings' QB options between veteran Sam Darnold and rookie J.J. McCarthy.""]",nan,simple,"[{'site': 'espn', 'country': 'us', 'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'author': 'Seth Walder', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}]",True
How might Gafford and Lively impact the Mavericks' share of rebounds?,"[""For the Mavericks, Doncic has averaged 10 or more rebounds only twice in eight career playoff series -- in the second round this season against the Thunder and in the first round of the 2022 playoffs -- while Gafford and Lively might divide the Mavericks' share of the rebounds even more.""]",Gafford and Lively might divide the Mavericks' share of the rebounds even more.,simple,"[{'site': 'espn', 'country': 'us', 'title': '2024 NBA Finals: Big questions ahead of Mavericks-Celtics', 'author': 'NBA Insiders', 'content_publish_date': 'Jun 3, 2024, 05:39 PM ET'}]",True
On what date does Caleb Houstan's $2 million contract become guaranteed?,"[""June 30: Caleb Houstan's $2 million contract becomes guaranteed.""]",Caleb Houstan's $2 million contract becomes guaranteed on June 30.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
What teams has Edey visited on his workout circuit?,"[""Edey, ranked No. 16 in ESPN's Top 100, is drawing interest from teams that are drafting in front and behind Miami, with every team in the back half of the lottery after San Antonio said to be in the market for a center. Utah, Portland and Sacramento were some of his latest stops on the workout circuit, and he might end up visiting the Los Angeles Lakers as well.""]","Edey has visited Utah, Portland, and Sacramento on his workout circuit.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA mock draft: 58 picks as trade talks heat up for 30 teams', 'author': 'Jonathan Givony and Jeremy Woo', 'content_publish_date': 'Jun 19, 2024, 07:00 AM ET'}]",True
What options do the Spurs have with their draft selections to bolster their point guard depth?,"['With the fourth and eighth selection in the draft, the Spurs have several options as they bolster their point guard depth. Depending on where they go in the draft, among the top-10 prospects the Spurs would consider include Reed Shepphard, Nikola Topic, or Stephon Castle.']","The Spurs have several options to bolster their point guard depth with their draft selections, including considering top-10 prospects such as Reed Shepphard, Nikola Topic, or Stephon Castle.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Latest signings, news, buzz and reports', 'author': 'ESPN ESPN', 'content_publish_date': 'Jun 18, 2024, 09:17 PM ET'}]",True
